text,label,attack_type,series,tier,psych_principles,source
JAMB: Your 2025 UTME result is available. Login at jamb.gov.ng with your registration number. Result checking is FREE — do not pay any agent. Dial 09-0900-8100 for help.,0,None,HardNegative_Govt,Legit,,template_legit
CBN: NIN-BVN linkage is required for all bank accounts. Visit your bank branch or use your bank's official USSD code. This service is completely FREE of charge.,0,None,HardNegative_Govt,Legit,,template_legit
Your leave request for Thursday 24 July to 20 July 2025 has been approved by HR. Your leave balance is 30 days remaining.,0,None,Work,Legit,,template_legit
Call: 'I'm a buyer who saw your item on Jiji. I want to pay via PalmPay transfer but my bank requires I call you to confirm your full account details including your PalmPay PIN for the inbound transfer to work correctly.',1,Vishing,E-commerce & Shopping,Sentinel,Marketplace Trust + Technical Misdirection,seag_csv
You find a USB drive in the government ministry reception. It is labelled 'MINISTER BRIEFING NOTES — STRICTLY CONFIDENTIAL'. Failure to comply will result in restrictions.,1,Baiting,Physical Security,Sentinel,Career Interest + Curiosity + Physical Attack Vector,seag_augmented
"Team meeting rescheduled to Thursday 2pm in the boardroom. Agenda: Q4 planning, budget review, HR updates. Please confirm attendance.",0,None,Work,Legit,,template_legit
"SECURITY ALERT: A call from someone claiming to be 'Officer Ibrahim from CAC (Corporate Affairs Commission)': 'your business registration has been flagged for potential fraudulent activity. To clear your record, provide your CAC number, BVN, and registered business account details. This must be resolved within the hour or formal charges will be filed.'",1,Vishing,Government & Identity,Novice,Business Threat Fear + Authority Impersonation,seag_augmented
Your Fidelity Bank debit card has been blocked after 7 failed PIN attempts from Ibadan. Unblock at fidelitybank-card-unblock.ng. Failure to comply will result in restrictions.,1,Phishing,Banking & Finance,Sentinel,Urgency + Fear,seag_augmented
Your First Bank debit card has been blocked after 5 failed PIN attempts from Onitsha. Unblock at firstbank-card-unblock.ng.,1,Phishing,Banking & Finance,Novice,Urgency + Fear,seag_csv
MTN: Your NIN is not linked to your SIM. Your line will be barred after 15 July 2025 per NCC directive. Dial *785# FREE to link. MTN will NEVER ask for your password via SMS.,0,None,HardNegative_Telecom,Legit,,template_legit
"Access Bank: Transaction Alert. Debit of ₦3,500 from your account ending 8832 at Total Filling Station on 22 June 2025. Balance: ₦55,890.75. Not you? Call 01-2802500.",0,None,Banking,Legit,,template_legit
"9mobile: Your monthly ₦45,000 data plan renews on 3 August 2025. You have 45,000MB remaining. To cancel auto-renewal, dial *244*0#.",0,None,Telecom,Legit,,template_legit
"You receive an email from 'security@accessbank-alert.com' addressed to Healthcare Workers: 'Your Access Bank account has been restricted after a ₦2,500,000 transfer attempt to an account in Enugu was flagged. Verify identity at accessbank-secure-ng.com within 48 hours to restore access.'",1,Phishing,Banking & Finance,Sentinel,Fear + False Legitimacy,seag_csv
"SMS: 'FIRS TAX ALERT: Your TIN TIN-20513180 has outstanding tax liabilities of ₦₦100,000. Pay immediately at firs-tax-payment.com to avoid prosecution and asset seizure.'",1,Smishing,Banking & Finance,Sentinel,Fear of Legal Prosecution + Authority,seag_csv
"IMPORTANT NOTICE: Through email, someone claiming to be from a childhood school alumni committee contacts you and says is launching a reunion platform and needs your full name, date of birth, and NIN for member verification",1,Pretexting,Corporate & Professional,Novice,Nostalgia + False Legitimacy + Pretexting,seag_augmented
"A call from someone claiming to be 'Officer Seun from DSS (Digital Security Service)': 'your internet activity has been flagged for surveillance of anti-government content. To cooperate with our investigation and avoid arrest, provide your full name, NIN, and bank account for monitoring purposes. Do not ignore this message.",1,Vishing,Government & Identity,Sentinel,Government Surveillance Fear + Authority Impersonation,seag_augmented
"Someone posing as a following up on an account complaint (Bank customer service) contacts you and calls you back about a complaint you never filed, and asks for your full card details to 'process the resolution and reverse the erroneous charge'. Failure to comply will result in restrictions.",1,Pretexting,Banking & Finance,Novice,Reciprocity + False Helpfulness,seag_augmented
"Paystack: Payment of ₦120,000 received from NNPC Abuja. Reference: ACC-TXN-88721. Contact support@paystack.com if you did not initiate this.",0,None,Ecommerce,Legit,,template_legit
"SMS: 'MTN: Port your number to our new network architecture. To complete the migration, reply with your 6-digit porting PIN and NIN. Migration is free — valid for 24 hours only.'",1,Smishing,Telecom & Mobile,Defender,SIM Swap + OTP Theft,seag_csv
"A call from someone claiming to be 'Officer Emeka from NAFDAC (National Agency for Food and Drug Administration)': 'your pharmacy purchases have been linked to a drug diversion scheme. To be excluded from the criminal list, provide your NIN and bank account for clearance. This must be resolved within the hour or formal charges will be filed.'",1,Vishing,Government & Identity,Novice,Criminal Record Fear + Authority Impersonation,seag_csv
"Your GTBank account ending 2291 has been credited with ₦250,000 on 15 July 2025. Your available balance is ₦87,320.50. If you did not initiate this, call 0700-482-6726.",0,None,Banking,Legit,,template_legit
FINAL NOTICE: Your Ecobank account will be closed in 72 hours due to incomplete KYC. Update records at ecobank-kyc-ng.com. Click the link below to act now.,1,Phishing,Banking & Finance,Defender,Regulatory Fear + Urgency,seag_augmented
"A printed poster in the hospital staff room: 'BONUS: Staff who complete this quick patient satisfaction survey get a ₦5,000 airtime reward. Scan the QR code to participate — for hospital staff only.' Failure to comply will result in restrictions.",1,Baiting,Healthcare & Medical,Novice,Greed + Physical Environment Trust,seag_augmented
"Ref: SEC/2025/0084 — Call: 'This is Glo VIP customer retention team. Due to your loyal patronage, you've been upgraded to our Premium Plan with 50GB data free. I just need to verify your account — what is the 4-digit PIN you use for Glo self-care?'",1,Vishing,Telecom & Mobile,Sentinel,Flattery + Self-Care Credential,seag_augmented
"IMPORTANT NOTICE: A call from someone claiming to be 'Officer Amaka from NAFDAC (National Agency for Food and Drug Administration)': 'your pharmacy purchases have been linked to a drug diversion scheme. To be excluded from the criminal list, provide your NIN and bank account for clearance. This must be resolved within the hour or formal charges will be filed.'",1,Vishing,Government & Identity,Defender,Criminal Record Fear + Authority Impersonation,seag_augmented
"Zenith Bank: Suspicious login attempt on your account at 22 June 2025. If not you, secure your account via the Zenith Mobile App NOW. Do NOT share your OTP with anyone.",0,None,HardNegative_Banking,Legit,,template_legit
"Team meeting rescheduled to Thursday 2pm in the boardroom. Agenda: Q4 planning, budget review, HR updates. Please confirm attendance.",0,None,Work,Legit,,template_legit
"GTBank ALERT: Debit of ₦8,750 on your account ending 0017 at Shoprite Ikeja on 15 July 2025. Balance: ₦87,320.50. Not you? Call 0700-482-6726 — the number on the back of your card.",0,None,HardNegative_Banking,Legit,,template_legit
"Email from 'support@Airtel-business.com': 'Your Airtel postpaid corporate account bill of ₦15,000 is overdue. Pay now at airtel-billings.com or your lines will be barred.' Reply STOP to opt out or proceed now.",1,Phishing,Telecom & Mobile,Defender,Fear of Service Disruption,seag_augmented
FIRS: Your TIN 98765432-0002 has been updated in our system. No further action required. Portal: taxpromax.firs.gov.ng,0,None,Government,Legit,,template_legit
"GTBank ALERT: Debit of ₦250,000 on your account ending 8832 at GTBank ATM Lekki on 3 August 2025. Balance: ₦12,445.00. Not you? Call 0700-482-6726 — the number on the back of your card.",0,None,HardNegative_Banking,Legit,,template_legit
"UBA: Your salary of ₦120,000 has been credited to your account ending 0017. Log in to UBA Mobile App to manage your finances.",0,None,Banking,Legit,,template_legit
"Konga: Payment confirmed for order #NG-2025-44821 (₦3,500). Your item ships within 2 business days. Thank you for shopping with Konga.",0,None,Ecommerce,Legit,,template_legit
FINAL NOTICE: Your Fidelity Bank account will be closed in 24 hours due to incomplete KYC. Update records at fidelitybank-kyc-ng.com.,1,Phishing,Banking & Finance,Sentinel,Regulatory Fear + Urgency,seag_csv
"You receive an email from 'security@uba-alert.com' addressed to Students: 'Your UBA account has been restricted after a ₦120,000 transfer attempt to an account in Lagos was flagged. Verify identity at uba-secure-ng.com within 48 hours to restore access.' Reply STOP to opt out or proceed now.",1,Phishing,Banking & Finance,Sentinel,Fear + False Legitimacy,seag_augmented
NIMC: Your NIN enrolment is complete. NIN: XXXX-XXXX-7821. Visit any NIMC centre with a valid ID if you need a physical card.,0,None,Government,Legit,,template_legit
"NYSC: Dear Corps Member, your CDS attendance for August has been recorded. Next CDS is 3 August 2025 at your designated PPA.",0,None,Government,Legit,,template_legit
"OPay: Security alert — your OPay account was accessed from a new device on 22 June 2025. If this was not you, change your PIN in the app immediately. Ref: ZB0847291.",0,None,HardNegative_Banking,Legit,,template_legit
"Dear Valued Customer, You receive an email from 'security@stanbicibtc-alert.com' addressed to Healthcare Workers: 'Your Stanbic IBTC account has been restricted after a ₦1,200,000 transfer attempt to an account in Port Harcourt was flagged. Verify identity at stanbicibtc-secure-ng.com within 48 hours to restore access.'",1,Phishing,Banking & Finance,Sentinel,Fear + False Legitimacy,seag_augmented
"Call: 'This is Glo VIP customer retention team. Due to your loyal patronage, you've been upgraded to our Premium Plan with 50GB data free. I just need to verify your account — what is the 4-digit PIN you use for Glo self-care?'",1,Vishing,Telecom & Mobile,Defender,Flattery + Self-Care Credential,seag_csv
You encounter a USB charging port at a public charging station labelled 'FREE PHONE CHARGING STATION' in a charging station in a public space.,1,Baiting,Social Media & Digital,Novice,False Convenience + Physical Trust,seag_csv
"Dear Valued Customer, SMS from '9mobile-NG-REWARD': 'You have won ₦750,000 in the 9mobile Customer Loyalty Draw. Your PIN is ACTIVATED. Claim at 9mobile-loyalty-claim.com within 60 minutes before expiry. Reference: 36926'.",1,Smishing,Banking & Finance,Defender,Greed + Urgency + False Legitimacy,seag_augmented
"You encounter a QR code sticker on an ATM labelled 'FREE BONUS CARD — SPECIAL PROMOTION — SCAN QR FOR ₦10,000 CREDIT' in a ATM machine. Click the link below to act now.",1,Baiting,Banking & Finance,Novice,Greed + Physical Environment Trust,seag_augmented
First Bank: Your BVN linkage has been completed successfully. No further action required. Contact 0700-34357-282 with questions.,0,None,Banking,Legit,,template_legit
[AUTOMATED MESSAGE] URGENT: Your Fidelity Bank account has been suspended due to a failed BVN match. Re-verify at fidelitybank-bvn-match.com within 48 hours.,1,Phishing,Banking & Finance,Sentinel,Fear + False Authority,seag_augmented
ACTION REQUIRED — You encounter a laptop left open and unlocked in the conference room labelled 'BOARD STRATEGY PRESENTATION — Q4 2025 — DO NOT SHARE' in a conference room after a meeting.,1,Baiting,Corporate & Professional,Novice,Curiosity + Opportunity + Physical Access,seag_augmented
"Konga: Payment confirmed for order #KG-881234 (₦250,000). Your item ships within 2 business days. Thank you for shopping with Konga.",0,None,Ecommerce,Legit,,template_legit
Someone posing as a resolving a 'locked account' (Company IT Helpdesk) contacts you and calls you and says they need your Windows login password temporarily to 'unlock your account profile from their end'.,1,Pretexting,Corporate & Professional,Sentinel,False Internal Authority + Professional Compliance,seag_csv
Your Instagram verification code is 991023. Do not share this with anyone. Instagram will never ask for this code.,0,None,Social,Legit,,template_legit
"ACCESS BANK: Your account was credited ₦120,000 on 3 August 2025. If you did not initiate this transfer, call 01-2802500 immediately. We will NEVER ask for your PIN or OTP.",0,None,HardNegative_Banking,Legit,,template_legit
SMS: 'LASG Ministry of Health: All healthcare workers must complete the 2025 mandatory training at lagoshealthtraining.com within 7 days to maintain your practising status.' Click the link below to act now.,1,Smishing,Healthcare & Medical,Defender,Professional Compliance + Credential Harvest,seag_augmented
JAMB: Your 2025 UTME result is available. Login at jamb.gov.ng with your registration number. Result checking is FREE — do not pay any agent. Dial 09-0900-8100 for help.,0,None,HardNegative_Govt,Legit,,template_legit
ACTION REQUIRED — A call from someone claiming to be 'Officer Omotola from NCC (Nigeria Communications Commission)': 'your phone line has been used to transmit illegal content. It will be permanently blocked within 30 minutes unless you confirm your identity and cooperate with our investigation. This must be resolved within the hour or formal charges will be filed.',1,Vishing,Government & Identity,Defender,Telecom Loss Fear + Authority Impersonation,seag_augmented
"GTBank ALERT: Debit of ₦120,000 on your account ending 8832 at GTBank ATM Lekki on 3 August 2025. Balance: ₦55,890.75. Not you? Call 0700-482-6726 — the number on the back of your card.",0,None,HardNegative_Banking,Legit,,template_legit
"ACTION REQUIRED — A call from someone claiming to be 'Officer Chidi from CAC (Corporate Affairs Commission)': 'your business registration has been flagged for potential fraudulent activity. To clear your record, provide your CAC number, BVN, and registered business account details. This must be resolved within the hour or formal charges will be filed.'",1,Vishing,Government & Identity,Defender,Business Threat Fear + Authority Impersonation,seag_augmented
Hi! Just wanted to say the meeting went well. Let's catch up tomorrow to discuss the next steps. Let me know if you're free after 3pm.,0,None,Social,Legit,,template_legit
"MTN: Your 3,500MB data bundle is active and expires 3 August 2025. Dial *131# to check balance or buy more data.",0,None,Telecom,Legit,,template_legit
"UBA: Your salary of ₦15,000 has been credited to your account ending 8832. Log in to UBA Mobile App to manage your finances.",0,None,Banking,Legit,,template_legit
Someone posing as a resolving a 'locked account' (Company IT Helpdesk) contacts you and calls you and says they need your Windows login password temporarily to 'unlock your account profile from their end'. Click the link below to act now.,1,Pretexting,Corporate & Professional,Novice,False Internal Authority + Professional Compliance,seag_augmented
First Bank: Your BVN linkage has been completed successfully. No further action required. Contact 0700-34357-282 with questions.,0,None,Banking,Legit,,template_legit
Your leave request for 22 June 2025 to 20 July 2025 has been approved by HR. Your leave balance is 3 days remaining.,0,None,Work,Legit,,template_legit
Jumia: Your order #JM-003421 has been shipped! Expected delivery: 15 July 2025. Track at jumia.com.ng/track. Questions? Call 07000-600-000.,0,None,Ecommerce,Legit,,template_legit
"First Bank ALERT: Your BVN has been successfully linked. No further action required. If you did not authorise this, visit firstbanknigeria.com or call 0700-34357-282.",0,None,HardNegative_Banking,Legit,,template_legit
JAMB: Your UTME result slip is available. Log in to jamb.gov.ng with your registration number 04193827HK to download. Results are free.,0,None,Government,Legit,,template_legit
"Ref: SEC/2025/0084 — A call: 'Good day, I am Officer Chidi from the NCC. your SIM card is being used for cybercrime. It will be permanently deactivated in 1 hour unless you verify your identity. This is extremely time-sensitive. Provide your BVN and bank details to begin the clearance process immediately.'",1,Vishing,Government & Identity,Defender,Fear + Fear of Telecom Loss + Authority Impersonation,seag_augmented
"Email from 'support@Glo-business.com': 'Your Glo postpaid corporate account bill of ₦75,000 is overdue. Pay now at glo-billings.com or your lines will be barred.' Failure to comply will result in restrictions.",1,Phishing,Telecom & Mobile,Sentinel,Fear of Service Disruption,seag_augmented
"SMS from '9mobile-NG-REWARD': 'You have won ₦120,000 in the 9mobile Customer Loyalty Draw. Your PIN is ACTIVATED. Claim at 9mobile-loyalty-claim.com within 60 minutes before expiry. Reference: 94260'.",1,Smishing,Banking & Finance,Defender,Greed + Urgency + False Legitimacy,seag_csv
"[AUTOMATED MESSAGE] Call: 'This is MTN VIP customer retention team. Due to your loyal patronage, you've been upgraded to our Premium Plan with 50GB data free. I just need to verify your account — what is the 4-digit PIN you use for MTN self-care?'",1,Vishing,Telecom & Mobile,Novice,Flattery + Self-Care Credential,seag_augmented
"SMS from 'Glo-NG-REWARD': 'You have won ₦25,000 in the Glo Customer Loyalty Draw. Your PIN is ACTIVATED. Claim at glo-loyalty-claim.com within 60 minutes before expiry. Reference: 62498'.",1,Smishing,Banking & Finance,Defender,Greed + Urgency + False Legitimacy,seag_csv
"ACCESS BANK: Your account was credited ₦15,000 on 15 July 2025. If you did not initiate this transfer, call 01-2802500 immediately. We will NEVER ask for your PIN or OTP.",0,None,HardNegative_Banking,Legit,,template_legit
"SMS: 'MDCN: Your CME (Continuing Medical Education) points are insufficient for licence renewal. Purchase additional CME credits at mdcn-cme-portal.com for ₦12,000 before Thursday.' Failure to comply will result in restrictions.",1,Smishing,Healthcare & Medical,Sentinel,Licence Renewal Fear,seag_augmented
"IMPORTANT NOTICE: SMS: 'Ecobank: Your account ending **7429 has received a ₦300000 credit from an unknown sender. If you did not authorise this, click to dispute: ecobank-dispute.com/ref646118'",1,Smishing,Banking & Finance,Defender,Greed + False Urgency,seag_augmented
JAMB: Your 2025 UTME result is available. Login at jamb.gov.ng with your registration number. Result checking is FREE — do not pay any agent. Dial 09-0900-8100 for help.,0,None,HardNegative_Govt,Legit,,template_legit
"Konga: Payment confirmed for order #JM-003421 (₦45,000). Your item ships within 2 business days. Thank you for shopping with Konga.",0,None,Ecommerce,Legit,,template_legit
"Your GTBank account ending 2291 has been credited with ₦8,750 on 3 August 2025. Your available balance is ₦55,890.75. If you did not initiate this, call 0700-482-6726.",0,None,Banking,Legit,,template_legit
"LinkedIn: Halima has accepted your connection request. You now have 1,204 connections. View their profile to start building your network.",0,None,Social,Legit,,template_legit
"First Bank ALERT: Your BVN has been successfully linked. No further action required. If you did not authorise this, visit firstbanknigeria.com or call 0700-34357-282.",0,None,HardNegative_Banking,Legit,,template_legit
"Call: 'This is MTN VIP customer retention team. Due to your loyal patronage, you've been upgraded to our Premium Plan with 50GB data free. I just need to verify your account — what is the 4-digit PIN you use for MTN self-care?'",1,Vishing,Telecom & Mobile,Novice,Flattery + Self-Care Credential,seag_csv
"Zenith Bank: Your scheduled standing order of ₦3,500 to Fatima Bello has been processed successfully. Ref: PAY-2025-0034521.",0,None,Banking,Legit,,template_legit
"First Bank ALERT: Your BVN has been successfully linked. No further action required. If you did not authorise this, visit firstbanknigeria.com or call 0700-34357-282.",0,None,HardNegative_Banking,Legit,,template_legit
"ACTION REQUIRED — You receive an email from 'security@fcmb-alert.com' addressed to General Publics: 'Your FCMB account has been restricted after a ₦120,000 transfer attempt to an account in Benin City was flagged. Verify identity at fcmb-secure-ng.com within 48 hours to restore access.'",1,Phishing,Banking & Finance,Sentinel,Fear + False Legitimacy,seag_augmented
"SMS from 'MTNALERTS': 'Your line 0806284667 has been selected for a network upgrade. To avoid service disruption, verify your SIM details at mtn-sim-verify.com within 2 hours.'",1,Smishing,Banking & Finance,Novice,Technical Credibility + SIM Swap Risk,seag_csv
"NYSC: Dear Corps Member, your CDS attendance for August has been recorded. Next CDS is 22 June 2025 at your designated PPA.",0,None,Government,Legit,,template_legit
SMS: 'NAFDAC WARNING: A batch of medication you may have purchased (Paracetamol 500mg) has been recalled due to contamination. Report your purchase at nafdac-recall.com for a refund and medical advice.' Reply STOP to opt out or proceed now.,1,Smishing,Banking & Finance,Sentinel,Health Fear + Civic Duty,seag_augmented
"Hi Adebayo, the Q3 report is ready for your review. I have shared it to your Google Drive. Please comment before COB Friday.",0,None,Work,Legit,,template_legit
"Dear student, your course registration for 2024/2025 First Semester has been completed. Your student ID is 190401023. Portal: abu.edu.ng",0,None,Education,Legit,,template_legit
"You encounter a popup advertisement on a shopping website labelled 'CLICK HERE — YOU ARE TODAY'S LUCKY VISITOR! CLAIM ₦50,000 GIFT CARD' in a e-commerce website. Do not ignore this message.",1,Baiting,E-commerce & Shopping,Novice,Greed + Browser-Based Social Engineering,seag_augmented
JAMB: Your UTME result slip is available. Log in to jamb.gov.ng with your registration number 97283421AA to download. Results are free.,0,None,Government,Legit,,template_legit
"Dear Valued Customer, SMS: 'Glo: Port your number to our new network architecture. To complete the migration, reply with your 6-digit porting PIN and NIN. Migration is free — valid for 24 hours only.'",1,Smishing,Telecom & Mobile,Novice,SIM Swap + OTP Theft,seag_augmented
IMPORTANT NOTICE: Your GTBank account has been flagged for unusual login activity from Ibadan. Confirm your identity within 24 hours at gtbank-security-verify.com.,1,Phishing,Banking & Finance,Novice,Fear + False Familiarity,seag_augmented
"Paystack: Payment of ₦15,000 received from Shoprite Ikeja. Reference: ACC-TXN-88721. Contact support@paystack.com if you did not initiate this.",0,None,Ecommerce,Legit,,template_legit
ACCESS BANK: URGENT — your card ending 2291 has been flagged for suspicious activity. Call the number on the back of your card (not this SMS) to dispute. Do not share OTP.,0,None,HardNegative_Banking,Legit,,template_legit
You find a portable hard drive in the hospital staff room. It is labelled 'PATIENT MEDICATION ERROR REPORT — INTERNAL AUDIT'. Reply STOP to opt out or proceed now.,1,Baiting,Physical Security,Defender,Professional Duty + Curiosity + Physical Attack Vector,seag_augmented
"UBA: Your salary of ₦250,000 has been credited to your account ending 4521. Log in to UBA Mobile App to manage your finances.",0,None,Banking,Legit,,template_legit
"Airtel: Your recharge of ₦250,000 was successful. Your bonus 1,024MB data is now active. Valid for 3 days.",0,None,Telecom,Legit,,template_legit
FIRS: Your TIN 12345678-0001 has been updated in our system. No further action required. Portal: taxpromax.firs.gov.ng,0,None,Government,Legit,,template_legit
NIMC: Your NIN enrolment is complete. NIN: XXXX-XXXX-3345. Visit any NIMC centre with a valid ID if you need a physical card.,0,None,Government,Legit,,template_legit
"SMS: 'Your Konga order #KGA-65934 has been returned to our warehouse. To redeliver, confirm your address and pay ₦2,500 redelivery fee at konga-redeliver.com within 24hrs.'",1,Smishing,E-commerce & Shopping,Novice,False Delivery + Small Fee Trust,seag_csv
NIMC: Your NIN enrolment is complete. NIN: XXXX-XXXX-3345. Visit any NIMC centre with a valid ID if you need a physical card.,0,None,Government,Legit,,template_legit
Your Instagram verification code is 847291. Do not share this with anyone. Instagram will never ask for this code.,0,None,Social,Legit,,template_legit
ACTION REQUIRED — URGENT: Your First Bank account has been suspended due to a failed BVN match. Re-verify at firstbank-bvn-match.com within 12 hours.,1,Phishing,Banking & Finance,Sentinel,Fear + False Authority,seag_augmented
"Through email, someone claiming to be from a childhood school alumni committee contacts you and says is launching a reunion platform and needs your full name, date of birth, and NIN for member verification",1,Pretexting,Corporate & Professional,Sentinel,Nostalgia + False Legitimacy + Pretexting,seag_csv
"NYSC: Dear Corps Member, your CDS attendance for July has been recorded. Next meeting is 22 June 2025. Log in to portal.nysc.org.ng for your PPA details.",0,None,HardNegative_Govt,Legit,,template_legit
"Airtel: Your recharge of ₦8,750 was successful. Your bonus 200MB data is now active. Valid for 14 days.",0,None,Telecom,Legit,,template_legit
"IMPORTANT NOTICE: SMS: '9mobile: Port your number to our new network architecture. To complete the migration, reply with your 6-digit porting PIN and NIN. Migration is free — valid for 24 hours only.'",1,Smishing,Telecom & Mobile,Defender,SIM Swap + OTP Theft,seag_augmented
