ID,Series,Tier,Occupation,Type,Level,Scenario,OptionA,OptionB,OptionC,CorrectAnswer,Hint,Explanation,PsychPrinciple
11,Banking & Finance,Novice,General Public,Pretexting,1,"A well-dressed person approaches you at a bank ATM: 'Please, I'm in an emergency. My card is stuck and I have a sick child at the hospital. Can you transfer ₦10,000 to my Opay number? I'll use internet banking to refund you immediately once I get inside.' They show you a hospital invoice on their phone.",Transfer the money — a sick child is an emergency,Politely decline and direct them to speak with the bank's security officers inside,"Transfer ₦5,000 as a compromise",Politely decline and direct them to speak with the bank's security officers inside,Physical social engineering at ATMs is a documented attack. The hospital invoice can be a fake screenshot. Bank security officers are the correct resource for genuine banking emergencies.,This is a Physical Pretexting attack exploiting Compassion and Urgency. The hospital invoice is a prop to create False Legitimacy. ATM social engineering often involves a second attacker nearby watching you enter your PIN while you're distracted by the conversation.,Compassion + Urgency + False Legitimacy
12,Banking & Finance,Sentinel,General Public,Pretexting,3,"Someone connects with you on LinkedIn claiming to be a Stanbic IBTC Wealth Manager: 'I specialise in helping young Nigerians grow their savings through our premium investment products. I can offer you 25% monthly returns on a ₦500,000 minimum investment. I need just your BVN and bank statement for KYC before onboarding.' They have a verified-looking profile with 800+ connections.",Provide the KYC details — 25% monthly return is a life-changing opportunity,Research Stanbic IBTC's official investment products at stanbicibtcbank.com before engaging,Ask to meet in person at a Stanbic branch before providing any documents,Research Stanbic IBTC's official investment products at stanbicibtcbank.com before engaging,25% monthly returns (300% annual) is a Ponzi scheme indicator — no legitimate investment product offers guaranteed returns at this rate. Stanbic IBTC's official contact for wealth management is through their registered branches and official website.,"LinkedIn investment scams are sophisticated Pretexting attacks. The 800+ connections creates Social Proof. 25% monthly is mathematically impossible from legitimate investments. Your BVN and bank statement together enable identity theft, loan fraud, and account takeover. Even meeting in person can be faked — verify through official Stanbic channels first.",Greed + Social Proof + False Legitimacy
13,Banking & Finance,Defender,IT Professional,Baiting,2,You find an envelope on your office printer labelled: 'CONFIDENTIAL — Q3 Salary Adjustment Notice — All Staff'. Inside is a QR code with instructions to scan to view your adjusted salary grade.,Scan the QR code — salary information is directly relevant to you,Report the found envelope to your IT security desk without scanning the QR code,Scan the QR code from your personal phone instead of your work device,Report the found envelope to your IT security desk without scanning the QR code,QR codes are the modern equivalent of a malicious link. Scanning routes your device browser to an attacker-controlled URL. Using your personal phone doesn't protect you — it just moves the infection target.,This is a targeted Baiting attack using Self-Interest (salary information) to compel action. QR code attacks bypass corporate email filters and web proxies. Personal devices are still valuable targets — they often have access to corporate apps and email accounts.,Curiosity + Self-Interest
14,Banking & Finance,Sentinel,Government Employee,Baiting,3,You receive a WhatsApp message from an unknown number: 'I found this USB drive in the ministry carpark labelled Ministry Internal Audit 2025. I've uploaded its contents to this Google Drive link for everyone's convenience: [link].' The link appears to be a real Google Drive URL.,Open the Google Drive link — the person was thoughtful to share the contents,Report the original USB device and this message to your ministry's IT security without clicking any link,Download the files quickly before the link expires,Report the original USB device and this message to your ministry's IT security without clicking any link,The attacker created the WhatsApp message AND the USB device. The 'helpful stranger' narrative is designed to extend reach. Even a real Google Drive URL can host malware-laced documents. The IT security desk can forensically examine both.,This is a multi-stage Baiting attack using Social Proof (someone 'helpfully' shared it) and Curiosity. The Google Drive URL is legitimate — attackers use real cloud storage to bypass URL blacklisting. Malicious Office or PDF documents hosted there can execute macros or exploits on open.,Curiosity + Social Proof + False Helpfulness
15,Government & Identity,Novice,Government Employee,Phishing,1,Your ministry email receives: 'IPPIS URGENT: Salary batch processing error detected on your profile. Log in to correct your account details at ippis-update.gov-ng.com before Friday payroll run. Failure means withheld salary.',Click and update immediately before the payroll deadline,Check the official IPPIS self-service portal at ippis.gov.ng directly,Reply asking for more information about the error,Check the official IPPIS self-service portal at ippis.gov.ng directly,The IPPIS official domain is ippis.gov.ng. 'ippis-update.gov-ng.com' is a fraudulent domain — note that '.gov-ng.com' is NOT a government TLD. Nigerian government domains end in .gov.ng.,Government payroll phishing exploits every civil servant's fundamental concern — receiving their salary. The fake domain mimics a .gov.ng address but is actually a .com domain. Payroll corrections are made through the official IPPIS self-service portal.,Fear of Salary Loss + Authority
16,Government & Identity,Defender,Government Employee,Phishing,2,You receive an official-looking email: 'FEDERAL CIVIL SERVICE COMMISSION: Annual performance appraisal results are ready. Download your appraisal letter to confirm your step increment at: fsc-appraisal-portal.com. Deadline: end of business today.',Download the appraisal letter immediately — promotion increments matter,Check the official FCSC portal at fedcivilservice.gov.ng for any announcements,Forward to your colleagues who would also want their appraisals,Check the official FCSC portal at fedcivilservice.gov.ng for any announcements,FCSC's official domain is fedcivilservice.gov.ng. 'fsc-appraisal-portal.com' is fraudulent. Appraisal communications are formal processes that go through official ministry channels and the official portal.,This attack exploits Career Aspiration (promotion increments) and Urgency (end of day deadline). The download action is the attack vector — the 'appraisal letter' is a malicious document. Forwarding to colleagues amplifies the attack.,Career Aspiration + Urgency
17,Government & Identity,Novice,Student,Phishing,1,"Email from 'jamb-admissions@jamb.edu.ng.admissions-portal.com': 'Your Direct Entry admission has been processed. To download your admission letter, log in at jamb-admission-ng.com with your JAMB registration number and date of birth.'",Log in immediately — your admission letter is critical,Go directly to jamb.gov.ng in your browser and check your profile,Call a fellow student who was also applying to see if they received the same email,Go directly to jamb.gov.ng in your browser and check your profile,"JAMB's domain is jamb.gov.ng — 'jamb.edu.ng.admissions-portal.com' is a lookalike subdomain trick. 'admissions-portal.com' is the actual domain, not JAMB's. Your JAMB registration number and date of birth together are enough for identity theft.",This phishing attack exploits one of the most emotionally significant moments in a student's life — university admission. The subdomain trick (jamb.edu.ng.admissions-portal.com) is designed to confuse — only the last two parts before the TLD matter as the domain. Always type jamb.gov.ng directly.,Emotional Investment + False Domain Legitimacy
18,Government & Identity,Novice,General Public,Smishing,1,"SMS: 'NIMC: Your NIN has been deactivated due to suspicious activity. Reactivate within 24hrs at: nimc-reactivate.com.ng or face permanent suspension of NIN-linked services (SIM, BVN, passport).'",Reactivate immediately — losing NIN-linked services is catastrophic,Visit a NIMC enrolment centre or call 0800-800-0634 to verify,Text back to request more information,Visit a NIMC enrolment centre or call 0800-800-0634 to verify,NIMC does not deactivate NINs via SMS and does not send reactivation links. NIN issues are resolved at official NIMC enrolment centres. The .com.ng TLD does not mean a site is official.,"This attack creates Fear by threatening cascading consequences (SIM, BVN, passport all linked to NIN). The threat of 'permanent suspension' maximises the fear response. NIMC has never had an SMS-based deactivation process.",Fear + Cascading Threat
19,Government & Identity,Sentinel,Government Employee,Vishing,3,"A call: 'Good afternoon, I'm from the Office of the NSA. We are conducting a classified investigation into financial irregularities at your ministry. Your name appears in our preliminary findings. To be cleared before the formal list is published, you must attend a confidential debriefing at an undisclosed location today. Do not discuss this with your supervisor.'",Attend the debriefing — being on an NSA list is extremely serious,"Refuse, end the call, and report it immediately to your supervisor and ministry security",Ask for the caller's name and promise to attend tomorrow,"Refuse, end the call, and report it immediately to your supervisor and ministry security",National security agencies conduct formal investigations through official legal processes. Unsolicited phone calls requesting you to attend 'undisclosed locations' without supervisor knowledge are a textbook kidnapping-risk and social engineering red flag.,"This is an extreme Vishing attack using a fabricated security threat and Isolation tactics ('don't tell your supervisor'). In Nigeria, this pattern has been used to extort money or enable kidnapping. Any call asking you to meet at an undisclosed location without management knowledge is dangerous.",Fear + Isolation + Manufactured Authority Crisis
20,Government & Identity,Defender,General Public,Pretexting,2,"A person visits your home claiming to be from the National Population Commission: 'We are conducting the 2025 National Housing Census. I need your full household roster including names, dates of birth, NINs, and employment details for all residents. This is mandatory under the Statistics Act.'",Provide all the information — it is a government-mandated census,"Ask to see an official ID, verify the ID on the NPC website at population.gov.ng, and confirm before sharing any NIN details",Give names and ages but refuse to give NINs,"Ask to see an official ID, verify the ID on the NPC website at population.gov.ng, and confirm before sharing any NIN details",Legitimate NPC enumerators carry verifiable photo IDs with QR codes or reference numbers you can verify on population.gov.ng. NIN numbers are NOT collected in general housing census operations — any enumeration asking for NINs is suspicious.,This physical Pretexting attack exploits Civic Compliance (it's the law) and Authority (government official). Real NPC enumerators do not collect NIN numbers. Providing all household NINs enables mass identity theft for every person in your home.,Civic Compliance + Authority + Mass Identity Risk
21,Education & Academia,Novice,Student,Phishing,1,Email: 'UNILAG PORTAL MAINTENANCE: Your student portal account will be deactivated in 48 hours unless you verify at: student-portal-unilag.com. Use your matric number and password.',Verify immediately — losing portal access means missing assignments,Type portal.unilag.edu.ng directly in your browser to check your account status,Ask your department's IT officer,Type portal.unilag.edu.ng directly in your browser to check your account status,"University portals have official .edu.ng domains. 'student-portal-unilag.com' is fraudulent. Entering your portal credentials on a fake site hands the attacker full access to your academic records, results, and financial information.","Student portal phishing targets academic anxiety — fear of missing deadlines or losing access. University IT departments announce maintenance through official portals and notice boards, not email links to external domains.",Academic Anxiety + Urgency
22,Education & Academia,Defender,Student,Smishing,2,"SMS: 'WAEC NOTICE: Due to a system upgrade, your WASSCE result scratch card has been invalidated. Purchase a new card at waec-result-ng.com for ₦3,500. Old cards expire in 24hrs.'",Buy the new scratch card quickly before your results are locked,Check waec.gov.ng or call WAEC on 01-270-3781 to verify,Ask a classmate if they received the same message,Check waec.gov.ng or call WAEC on 01-270-3781 to verify,WAEC does not invalidate purchased scratch cards and has never communicated result-access changes via SMS. 'waec-result-ng.com' is not WAEC's domain (waec.gov.ng). This is an advance fee fraud targeting exam anxiety.,"WAEC and NECO result access scams are extremely common. They exploit Educational Anxiety and Urgency. ₦3,500 is within a student's budget, making the ask feel proportionate. WAEC scratch cards, once purchased from authorised vendors, remain valid.",Educational Anxiety + Urgency + Advance Fee Fraud
23,Education & Academia,Defender,Student,Vishing,2,"A call: 'Hello, this is the JAMB Central Admission Processing Centre. We have a vacancy in Computer Science at UI. However, there is a processing fee of ₦45,000 required within 2 hours to secure the spot before it goes to the next candidate on the list.'",Pay immediately — UI Computer Science is a top programme,Tell the caller you'll call back and call JAMB on 09-292-000-1 to verify the offer,Negotiate the fee down and then pay,Tell the caller you'll call back and call JAMB on 09-292-000-1 to verify the offer,JAMB does not offer admission places over the phone with payment requirements. Admission processes are entirely online through the JAMB portal. Any 'pay to secure a spot' call is an advance fee fraud.,This Vishing attack exploits the immense pressure of university admission in Nigeria. The 2-hour window is designed to prevent verification. JAMB's entire admission process is transparent and online — no official processing fees are ever collected by phone.,Educational Desperation + Extreme Urgency + Advance Fee Fraud
24,Education & Academia,Novice,Student,Pretexting,1,"A senior student asks: 'I'm doing a study on student financial habits for my thesis. Can you fill out this quick Google Form? It just asks about your monthly allowance, how you receive it (cash or bank transfer), and which bank you use.' The form also has fields for your account number.",Fill it out — helping a senior's thesis is a good thing,Fill out only the non-financial questions and skip the account number field,Refuse and ask why an account number is needed for a financial habits study,Refuse and ask why an account number is needed for a financial habits study,"Legitimate academic surveys on financial habits do not require real account numbers — researchers use anonymised ranges (e.g. 'above/below ₦30,000'). Combining account number + bank name + your identity enables fraudulent transactions.","This Pretexting attack uses Academic Trust and Reciprocity (helping a peer). The Google Form gives it a veneer of legitimacy. Your account number, bank, and identity together are enough to attempt fraudulent transfers or SIM swaps. Legitimate IRB-approved research never collects actual account numbers.",Academic Trust + Reciprocity
25,Education & Academia,Sentinel,IT Professional,Phishing,3,"An email from 'github-security@github-noreply-secure.com': 'Unusual login detected on your GitHub account from Lagos, Nigeria. Two new deploy keys were added. If this was not you, revoke access immediately at: github-security-review.com.' Your company's codebase is on GitHub.",Click immediately to revoke the deploy keys before your codebase is compromised,"Go directly to github.com in your browser, log in, and check Settings > Security > Active Sessions",Forward to your team lead as it involves company code,"Go directly to github.com in your browser, log in, and check Settings > Security > Active Sessions",GitHub's official domain is github.com — 'github-noreply-secure.com' is fraudulent. GitHub security emails come from noreply@github.com. Going directly to github.com lets you see the actual security log.,"Developer-targeted phishing uses the credible threat of codebase compromise to trigger immediate action. Deploy key theft could give attackers access to your production systems. The 'Lagos, Nigeria' location detail is designed to make the alert feel more real and personal.",Professional Fear + Urgency + Technical Credibility
26,Healthcare & Medical,Novice,Healthcare Worker,Phishing,1,Email to hospital staff: 'NHIS SYSTEM UPDATE: Healthcare provider credentials must be renewed by end of week. Providers failing to renew will have claims suspended. Complete renewal at: nhis-provider-renewal.com.',Renew immediately to prevent claims suspension,Visit nhis.gov.ng directly and check the provider portal for renewal notices,Ask your hospital's compliance department to handle it,Visit nhis.gov.ng directly and check the provider portal for renewal notices,NHIS provider credential renewal is managed through nhis.gov.ng's official provider portal. Any external domain collecting provider credentials is a phishing attempt. Your compliance department verifying through official channels is also appropriate.,NHIS phishing targeting healthcare providers exploits their professional obligation to maintain active credentials for patient billing. Claims suspension would affect both the hospital and patients.,Professional Obligation + Fear of Business Disruption
27,Healthcare & Medical,Novice,Healthcare Worker,Smishing,1,"SMS: 'MDCN URGENT: Your medical practising licence MDN/2025/XXX is due for renewal. Incomplete renewals after this notice will result in deregistration. Renew at: mdcn-licence-ng.com for ₦25,000.'",Pay the renewal fee immediately — deregistration ends your career,Check the MDCN website at mdcn.gov.ng or visit a MDCN office to verify renewal requirements,"Pay ₦25,000 — it's a small fee to avoid deregistration",Check the MDCN website at mdcn.gov.ng or visit a MDCN office to verify renewal requirements,"MDCN's renewal process is conducted through their official portal at mdcn.gov.ng. Licence numbers are not formatted as 'MDN/2025/XXX' — the real format is different. MDCN sends renewal notices through formal written communications, not SMS.",Medical licence fraud is particularly effective against healthcare workers because the threat is their entire career and livelihood. MDCN renewal fees and processes are published on their official website and have not changed to an SMS-based system.,Career Threat + Fear + False Urgency
28,Healthcare & Medical,Sentinel,Healthcare Worker,Vishing,3,"Call at 10pm: 'Doctor, this is Dr. Ola Bello, CMAC at LUTH. We have a critical situation — a patient from your ward has developed post-operative complications and the duty registrar cannot reach you on the ward number. I need you to authorise an emergency protocol change and provide your hospital EMR login so we can update the patient file remotely before the on-call team arrives.'",Provide the EMR login — patient safety is the highest priority,Call the LUTH CMAC office directly on the hospital's main number to verify the emergency,Ask for the patient's name first before providing credentials,Call the LUTH CMAC office directly on the hospital's main number to verify the emergency,Healthcare EMR credentials are never shared — not even in genuine emergencies. Hospitals have emergency break-glass procedures that do not require sharing login credentials. Calling the hospital's main number to verify takes 60 seconds.,"This is the most dangerous type of healthcare social engineering — exploiting a doctor's Duty of Care at the most psychologically vulnerable moment (late night, emergency framing). EMR credential sharing violates data protection law and hospital policy regardless of the apparent emergency. Break-glass accounts exist for exactly this reason.",Duty of Care + Manufactured Emergency + Night-time Vulnerability
29,Healthcare & Medical,Defender,Healthcare Worker,Pretexting,2,A man in a suit visits your consulting room claiming to be from the Nigerian Medical Association research department: 'We are auditing prescribing patterns for antibiotics. May I take a photo of your prescription pad and prescriber stamp for our records? It helps us verify the sample size.',Allow the photo — NMA research is legitimate,Decline and ask him to contact your hospital administration for any authorised audit,Allow the photo but cover your full name,Decline and ask him to contact your hospital administration for any authorised audit,Prescription pad images and prescriber stamps can be used to forge prescriptions for controlled substances. NMA does not conduct audits this way. Legitimate researchers go through hospital ethics boards.,This physical Pretexting attack uses Academic Authority to obtain prescription forgery materials. Prescription pads and stamps are regulated documents. Any unauthorised copying enables controlled substance fraud — a serious criminal offence.,Academic Authority + Physical Asset Theft
30,Healthcare & Medical,Defender,General Public,Smishing,2,"SMS: 'NHIS: You have a pending medical benefit claim of ₦180,000. To process your payment, provide your HMO card number and NIN at: nhis-claims-ng.com within 48hrs or forfeit the benefit.'",Claim the benefit quickly before it expires,Call your HMO's official customer care line to verify any pending claims,Visit the website from your laptop for better security,Call your HMO's official customer care line to verify any pending claims,"HMO benefit claims are processed through your employer's HR department or directly at HMO offices — not through SMS links. ₦180,000 is a suspiciously specific amount designed to seem credible.",Medical benefit fraud exploits healthcare illiteracy and the appeal of unexpected financial gain. HMO card numbers and NINs together enable identity fraud and fraudulent medical claims in your name.,Greed + False Legitimacy + Medical Identity Theft
31,Corporate & Professional,Novice,IT Professional,Phishing,1,Company-wide email: 'IT NOTICE: Microsoft 365 licenses are being reallocated. Users who do not confirm activity at office365-confirm-ng.com by EOD will have accounts deactivated to free up licenses.',Confirm immediately — losing email access impacts work,Check with your IT department directly before clicking any external link,Confirm quickly and inform colleagues,Check with your IT department directly before clicking any external link,Microsoft 365 license management is done by your IT admin through the real Microsoft 365 admin portal — not by sending users to external domains. IT notices about account changes come from your company's own IT helpdesk.,Internal phishing (emails appearing to come from IT) are particularly effective because recipients assume they are legitimate. An IT professional should know that Microsoft 365 management never requires employees to confirm activity on external sites.,False Internal Authority + Urgency
32,Corporate & Professional,Novice,IT Professional,Vishing,1,"Call: 'Hi, I'm Dare from Palo Alto Networks technical support. Our monitoring has detected unusual outbound traffic from your company's IP range that matches a known C2 callback. I need to walk you through a quick diagnostic. Can you install this remote monitoring agent: pa-support-tool.exe from our support portal?'",Install the agent — C2 callbacks are a serious threat,Thank the caller and raise a formal support ticket with Palo Alto Networks through your official account,Ask for their employee ID before installing,Thank the caller and raise a formal support ticket with Palo Alto Networks through your official account,"Vendor technical support never makes unsolicited calls requesting remote agent installation. A C2 callback alert from a vendor would come through your registered support account, not a cold call. 'pa-support-tool.exe' from an unknown URL is likely a RAT.",This vishing attack targets IT professionals using technical credibility (C2 callbacks are real threats) and vendor impersonation. Unsolicited 'helpful' support calls are a common initial access vector. Always raise support tickets through your registered vendor account portal.,Technical Credibility + Vendor Impersonation
33,Corporate & Professional,Sentinel,IT Professional,Pretexting,3,"A new contractor starts at your company. On day 2, he asks: 'I'm still waiting for my domain account. Can I use your credentials temporarily to access the project repo? I won't change anything — just read-only. The project deadline is tomorrow and my access request is stuck in HR.' He seems genuine and friendly.",Share credentials temporarily — it's just read access for one day,Escalate his access request through proper channels and offer to retrieve the specific files he needs yourself,Create a temporary local account for him,Escalate his access request through proper channels and offer to retrieve the specific files he needs yourself,Credential sharing violates your company's security policy and your personal accountability regardless of the reason. 'Read-only' access with someone else's credentials is still credential abuse. Escalating his access request takes minimal effort.,"This is an insider threat / Pretexting scenario using Likeability (friendly new colleague) and a Reasonable Justification (deadline pressure). Shared credentials are unauditable — if anything goes wrong, it appears under your account. Proper access escalation exists precisely for this.",Likeability + Reasonable Justification + Credential Sharing Risk
34,Corporate & Professional,Defender,General Public,Phishing,2,"Job application confirmation email: 'Congratulations! You have been shortlisted for the Dangote Group Graduate Trainee Programme 2025. To complete your application, you must pay a ₦15,000 non-refundable assessment fee at: dangote-recruitment-ng.com within 24hrs.'",Pay the fee — Dangote Graduate Trainee is a prestigious opportunity,Verify the recruitment programme at the official Dangote Group website (dangote.com) or their official social media,Pay and ask for a receipt to confirm legitimacy,Verify the recruitment programme at the official Dangote Group website (dangote.com) or their official social media,Legitimate companies never charge application or assessment fees to candidates. Dangote Group and all reputable Nigerian employers conduct recruitment entirely free of charge. Any fee request is a definitive sign of fraud.,Job offer scams are extremely common in Nigeria where unemployment is high. They exploit Career Aspiration and Urgency. 'Non-refundable' is designed to prevent you from thinking about loss. Dangote Group's real recruitment is managed through verified channels.,Career Aspiration + Urgency + Advance Fee Fraud
